id;statut_adhesion;matricule_personne;date_debut_adhesion;date_fin_adhesion
1;ACTIVE;real-time interface;2023-06-08T10:13:36;2023-06-07T21:59:03
2;DESACTIVE;asymmetric;2023-06-08T08:35:40;2023-06-08T11:18:56
3;DESACTIVE;c Buckinghamshire;2023-06-08T12:24:25;2023-06-08T05:15:27
4;ACTIVE;Industrial;2023-06-08T07:53:18;2023-06-07T17:17:47
5;ACTIVE;Pizza Intelligent;2023-06-08T05:40:12;2023-06-08T03:13:13
6;DESACTIVE;leading;2023-06-08T11:10:08;2023-06-08T10:19:38
7;ACTIVE;multi-byte mobile Specialiste;2023-06-08T08:06:23;2023-06-08T00:31:31
8;DESACTIVE;seize Belgique Account;2023-06-08T00:23:44;2023-06-08T05:48:09
9;DESACTIVE;Concrete primary Account;2023-06-08T02:51:33;2023-06-07T17:42:51
10;DESACTIVE;connecting;2023-06-08T05:10:02;2023-06-08T09:18:15
