id;code_association;libelle;description;date_ouverture;date_cloture;penalite_retard_rnbrsmnt;taux_interet_pret
1;application;Plastic Vision-oriented;platforms XSS port;2023-06-08T01:31:47;2023-06-07T16:58:50;72055;44789
2;Lesotho withdrawal;multi-byte Buckinghamshire calculate;hacking;2023-06-08T03:54:59;2023-06-07T22:39:08;12269;59307
3;Soft;Peso;Manager Cross-platform;2023-06-08T12:33:20;2023-06-07T16:31:21;79550;86516
4;Handcrafted extensible infrastructures;e-markets Keyboard Fish;Gabon c revolutionary;2023-06-08T04:37:32;2023-06-07T15:45:25;42332;16039
5;Saint-Dominique optical;mission-critical;Kenyan improvement Cheese;2023-06-07T19:08:09;2023-06-08T09:29:48;52813;57942
6;Frozen Kids synthesize;cross-platform drive;Cambridgeshire;2023-06-08T12:20:04;2023-06-08T06:46:01;70970;42514
7;Account Awesome CSS;innovate;wireless Pants;2023-06-08T12:28:06;2023-06-08T10:59:42;23062;64742
8;Small ADP monetize;Chips calculating;b;2023-06-08T06:30:40;2023-06-08T06:43:42;26179;93927
9;c iterate HTTP;olive Buckinghamshire;drive;2023-06-07T15:58:23;2023-06-08T11:05:21;80665;84692
10;Baht Armenian;composite Iceland transitional;Auvergne Chair;2023-06-08T11:41:50;2023-06-07T20:39:39;89216;497
