id;libelle;description;matricule_adherant;montant_disponnible
1;strategize;networks;Movies synergies;39509
2;deposit;Midi-Pyrénées utilize Bedfordshire;la;51604
3;innovative SQL;black a;synergize systematic;10500
4;Lev Buckinghamshire Computer;Plastic compressing b;extensible;25588
5;Bretagne;Card;Pizza sensor;61966
6;Fish;Avon Executif Bahreïn;Steel Kids;83145
7;Saint-Denis;Bermuda a;Computer;87734
8;to SMTP Tomé-et-Principe;Cordoba;Plastic Mauritius intuitive;97091
9;USB Gorgeous;Stagiaire Intuitive Sleek;service-desk;14638
10;Gorgeous Shirt navigating;PNG Keyboard;interface transparent;66900
