id;identifiant;matricule_contributeur;montant_contribution;date_contribution
1;expedite clicks-and-mortar;compress Industrial;56298;2023-06-08T01:08:11
2;(E.M.U.-6) B2C Configurable;Picardie Intelligent system;3690;2023-06-08T00:38:20
3;Developpeur incubate fuchsia;infrastructure;12029;2023-06-08T07:35:34
4;monitor Iceland b;Frozen withdrawal Grocery;53569;2023-06-08T05:15:47
5;a équatoriale;leading-edge;57605;2023-06-07T22:47:07
6;next-generation Jewelery;Cotton withdrawal Rubber;1504;2023-06-07T23:06:26
7;payment Phased;compress;46722;2023-06-08T12:20:19
8;Graphic Electronics Rustic;Awesome Tools viral;4031;2023-06-08T11:37:25
9;Shoes des;b;86619;2023-06-07T16:24:27
10;Directeur Unbranded compressing;models defect c;48871;2023-06-08T05:33:40
