id;libelle;montant;date_cotisation;montant_cotise;commentaire
1;optical Jamaïque hack;55371;2023-06-07T20:50:15;55220;c
2;Salad;94672;2023-06-08T07:40:42;42186;strategy
3;vertical de Gorgeous;33027;2023-06-08T13:04:25;85626;Assistant panel Franche-Comté
4;Electronics enable Bulgarie;44619;2023-06-07T18:58:54;59741;Outdoors auxiliary
5;zero panel;32978;2023-06-08T12:47:11;15096;saoudite optimal Jewelery
6;d'Argenteuil;35179;2023-06-08T14:08:57;41544;Hat Luxembourg extend
7;USB bandwidth-monitored Alsace;18113;2023-06-08T01:49:21;89474;Ball c payment
8;strategic Directeur;16032;2023-06-07T23:35:43;10608;JSON content Assistant
9;SMS;40044;2023-06-07T20:43:20;49800;Personal Chat-qui-Pêche deposit
10;Soap b;3896;2023-06-07T15:28:43;39745;unleash orchid
