id;montant_cotise;piece_justif_path;date_cotisation;date_validation;commentaire;etat
1;98933;Israël transmitter;2023-06-07;2023-06-07;Intelligent;ENCOURS
2;92761;Executif Auvergne Mouffetard;2023-06-07;2023-06-07;Kroon;ECHEC
3;35521;Cambridgeshire Toys robust;2023-06-08;2023-06-08;transmitting Franc c;COTISE
4;15902;zero Home a;2023-06-08;2023-06-08;IB;COTISE
5;59868;Directeur;2023-06-08;2023-06-08;Fantastic Ergonomic;ECHEC
6;62645;extranet;2023-06-07;2023-06-08;Picardie;ENCOURS
7;31582;Soap Cambridgeshire payment;2023-06-08;2023-06-08;b Fantastic;COTISE
8;72949;repurpose a;2023-06-08;2023-06-07;back-end;COTISE
9;28429;Refined grow;2023-06-08;2023-06-08;Pre-emptive Barbade;COTISE
10;45006;synthesize;2023-06-07;2023-06-07;Avon Soft;ECHEC
