id;libele;date_decaissement;montant_decaisse;commentaire
1;reinvent b;2023-06-08;37550;c
2;indexing strategy;2023-06-07;80366;Movies
3;Oberkampf Avon;2023-06-08;74051;viral
4;value-added reboot matrix;2023-06-07;3472;Borders Brunei Concrete
5;Cordoba functionalities haptic;2023-06-08;58353;c Health markets
6;bypass Chicken;2023-06-07;53386;wireless synthesizing
7;Compatible grey;2023-06-08;49754;a synthesizing
8;motivating Avon;2023-06-07;93832;Tasty
9;Small;2023-06-08;91785;SMTP
10;Steel applications Handcrafted;2023-06-08;54079;Russian
