id;libelle;doc_key;path;type_document
1;invoice Tanzanian;Fantastic a;Gourde hacking;Leone Salvador Corse
2;Afghani;b;hacking Intelligent hack;program fault-tolerant
3;Dollar;white;c Cambridgeshire;sensor Account
4;Money copy;Handmade;adapter Metal;Games
5;c Borders;payment orchid;Pataca;bricks-and-clicks d'Assas bluetooth
6;up Health;indigo b;Frozen Limousin;dynamic
7;Savings Bretagne;Zambian a;deposit;Jamaïque
8;visualize Steel;magenta;calculate Bretagne;solid Concrete
9;Shirt Sleek;payment;b Industrial Unbranded;Plastic deposit
10;b Inverse redefine;Soft e-commerce;Function-based Dauphine Incredible;Incredible
