id;code_document;libele;description;date_enregistrement;date_archivage;version
1;deposit dynamic withdrawal;SMS eyeballs;red;2023-06-07;2023-06-08;transitional redundant
2;Corse optical payment;foreground Manager Team-oriented;modular Soft;2023-06-08;2023-06-08;Renminbi c Refined
3;Quality-focused circuit leverage;Saint-Dominique;empower Towels Soap;2023-06-07;2023-06-08;exploit
4;Stagiaire;pink Operative;Sausages;2023-06-08;2023-06-07;c override Provence
5;mobile;Granite Business-focused c;Towels;2023-06-08;2023-06-08;Monaco Refined
6;Pizza Generic;incentivize;overriding payment alarm;2023-06-08;2023-06-08;e-services
7;withdrawal;Investment Concrete a;payment;2023-06-08;2023-06-07;responsive
8;Hat Haïti;FTP bypassing;SSL Burundi Plastic;2023-06-08;2023-06-08;withdrawal plum
9;Centre innovate Paix;product Shirt Mouse;engineer up;2023-06-08;2023-06-07;reboot Provence-Alpes-Côte copy
10;up Pants;program Robust hybrid;collaborative solid;2023-06-08;2023-06-08;navigate
