id;libele;observation;date_debut;date_fin;statut
1;Cambridgeshire payment Baby;solutions Frozen Grenade;2023-06-08;2023-06-07;OUVERT
2;payment engineer Metal;Optional matrix Money;2023-06-08;2023-06-07;OUVERT
3;Cambridgeshire quantifying;Sri interface;2023-06-07;2023-06-07;FERME
4;Investment a;teal HTTP;2023-06-08;2023-06-08;OUVERT
5;Agent Shoes bleeding-edge;payment c Rhône-Alpes;2023-06-08;2023-06-07;OUVERT
6;Beauty IB Table;Plastic CSS deposit;2023-06-07;2023-06-07;OUVERT
7;compressing deposit;du;2023-06-08;2023-06-08;FERME
8;open-source Synergized Baby;payment cyan Shoes;2023-06-08;2023-06-08;FERME
9;communities Plastic Superviseur;Horizontal back;2023-06-07;2023-06-07;OUVERT
10;virtual;c Granite Corse;2023-06-08;2023-06-07;OUVERT
