id;matricule_adherent;code_fonction;date_prise_fonction;date_fin_fonction;actif
1;navigate Buckinghamshire;c;2023-06-08;2023-06-08;false
2;Basse-Normandie Berkshire;bandwidth;2023-06-07;2023-06-07;true
3;array HDD;Ukraine Soap;2023-06-07;2023-06-08;true
4;a Tilsitt wireless;deliverables Tugrik sky;2023-06-07;2023-06-08;false
5;Automotive homogeneous;bleeding-edge Lek b;2023-06-07;2023-06-07;false
6;Steel Gorgeous up;a Chips c;2023-06-07;2023-06-08;false
7;Turkménistan Bulgarian Granite;Assistant;2023-06-08;2023-06-07;true
8;Île-de-France sensor;Awesome;2023-06-08;2023-06-08;true
9;system Djibouti;extensible;2023-06-07;2023-06-08;false
10;Savings Salad;Provence Fish;2023-06-08;2023-06-08;false
