id;adhesion_periodique;date_debut;duree_adhesion_mois;montant_libre;description;tarif
1;false;2023-06-08T00:00:41;95715;false;white;31183
2;false;2023-06-08T00:55:39;39020;false;reciprocal;87527
3;false;2023-06-08T09:22:38;40853;false;tan Account navigating;75335
4;true;2023-06-08T11:32:25;27617;false;Granite turquoise;34348
5;true;2023-06-08T12:26:17;58669;false;Future-proofed Generic;89001
6;false;2023-06-08T06:42:48;79475;true;Togo Kip sticky;4668
7;false;2023-06-08T09:32:16;22621;false;Wooden Refined Bahreïn;46562
8;true;2023-06-08T10:35:54;20816;true;b Champagne-Ardenne;84858
9;true;2023-06-07T20:14:34;202;false;b Enhanced Profit-focused;75043
10;false;2023-06-08T08:22:14;69085;true;Moldavie Checking Handcrafted;9392
