id;matricule_adherent;code_tontine;date_prise_fonction;date_fin_fonction
1;static Soft SCSI;Investment neural tolerance;2023-06-08;2023-06-08
2;Rhône-Alpes front-end AGP;Fantastic index THX;2023-06-08;2023-06-08
3;neural-net primary;structure grey;2023-06-07;2023-06-07
4;Rustic;transmitting;2023-06-08;2023-06-08
5;monitor markets;b stable;2023-06-08;2023-06-07
6;Card infrastructures;black;2023-06-07;2023-06-07
7;compressing Îles Bedfordshire;Ball;2023-06-08;2023-06-07
8;Shirt Honduras optimal;customer;2023-06-07;2023-06-08
9;Cambridgeshire;digital calculate Card;2023-06-08;2023-06-08
10;Gorgeous bandwidth circuit;Checking invoice Faubourg-Saint-Denis;2023-06-07;2023-06-07
