id;code_association;reference_paiement;matriculecmpt_emet;matriculecmpt_dest;montant_paiement;date_paiement;mode_paiement;statut_paiement
1;Chine initiatives niches;Bedfordshire;disintermediate Rustic c;navigating;98126;2023-06-07T22:29:53;VIREMENT;ECHEC_PAYEMENT
2;Incredible a Practical;Producteur definition;XSS Rustic;grid-enabled Buckinghamshire;41385;2023-06-08T09:19:57;CHEQUE;ENCOURS
3;Intelligent Intelligent;cultivate facilitate JSON;array Card;orchid Loan Down-sized;78206;2023-06-08T01:55:05;ESPECE;ECHEC_PAYEMENT
4;sticky withdrawal invoice;Monsieur-le-Prince Baby array;Midi-Pyrénées Small;Rubber Jamaïque;79688;2023-06-08T13:13:36;MOBILE_MONEY;ECHEC_PAYEMENT
5;Avon;Ingenieur value-added Universal;service-desk;fuchsia;45335;2023-06-07T19:58:42;CHEQUE;ENCOURS
6;grow;Corse frame;card;bluetooth b;47342;2023-06-08T07:59:50;VISA;ENCOURS
7;Pants;Salad olive wireless;seamless Metal;Jewelery;23226;2023-06-07T22:56:14;ESPECE;PAYER
8;gold project;Adolphe;a Île-de-France Mouse;Avon Hat Granite;20657;2023-06-08T14:01:06;ESPECE;ECHEC_PAYEMENT
9;c;invoice JBOD Fully-configurable;silver red;sensor deposit;9261;2023-06-08T11:35:10;CHEQUE;PAYER
10;compress;Berkshire;reboot;Re-contextualized;98170;2023-06-07T22:34:11;VIREMENT;PAYER
