id;libele;codepot;montant_cible;description;date_debut_collecte;date_fin_collecte;statut
1;Hat;red;11416;deliverables time-frame;2023-06-08;2023-06-07;FERMEE
2;infrastructures;Licensed iterate;14112;Clothing Berkshire;2023-06-08;2023-06-07;OUVERTE
3;b Books c;magnetic Keyboard Triple-buffered;92671;Bacon 1080p Picardie;2023-06-07;2023-06-07;CLOTURE
4;feed interfaces Sharable;a Ball;75728;c Analyste b;2023-06-07;2023-06-07;FERMEE
5;USB Bacon Cheese;back-end des Account;44706;a b SMS;2023-06-07;2023-06-07;OUVERTE
6;Coordinateur;hacking d'Azur;34010;transmitting Shirt Corse;2023-06-07;2023-06-07;CLOTURE
7;b a;Account;16268;ability Norvège;2023-06-08;2023-06-08;CLOTURE
8;Table Bedfordshire;d'Azur Bike;32523;synergize gold;2023-06-08;2023-06-08;OUVERTE
9;solution-oriented;Montorgueil SCSI Centre;61930;challenge synergies;2023-06-08;2023-06-08;CLOTURE
10;Incredible;index;73435;methodologies;2023-06-08;2023-06-07;CLOTURE
