id;libelle;matricule_adherent;date_sanction;motif_sanction;description;code_activite
1;Fully-configurable website metrics;Frozen;2023-06-08;Car;Fantastic payment;compelling Agent
2;programming;Aquitaine networks Tasty;2023-06-08;b ADP;Bretagne mobile;Practical Cambridgeshire c
3;Hat moratorium;olive;2023-06-07;firewall b Wooden;invoice Jewelery;Chair
4;challenge indexing;Mouse Granite;2023-06-08;Fantastic deposit;ivory;reintermediate
5;b;b GB;2023-06-08;experiences;b;lavender Soft Loan
6;generate;a Bretagne;2023-06-08;Ball Bike transmitter;port deposit Books;cross-media
7;Metal;Malawi calculating Practical;2023-06-08;b Gourde;deposit Clothing black;relationships value-added
8;Toys Corse blue;Rupee Limousin;2023-06-07;Synchronised interface Handmade;yellow Towels Alsace;payment Chat-qui-Pêche des
9;initiatives;c;2023-06-07;connecting Architecte;deposit;JSON groupware
10;purple;Soft Macédoine;2023-06-07;Granite vertical blue;Corse bluetooth Account;Haute-Normandie GB
