id;code_association;code_tontine;type
1;b withdrawal compressing;architecture Avon Account;ECHEC_TONTINE
2;human-resource;Franche-Comté application;ABSCENCE_PRESENCE
3;non-volatile Midi-Pyrénées;Tasty Shoes grow;SANCTION_ASSEMBLE
4;synergies;Malte bypass Fully-configurable;RETARD_PRESENCE
5;Handmade payment Garden;aggregate;ECHEC_TONTINE
6;transmitting;withdrawal JSON;RETARD_PRESENCE
7;calculating Architecte;methodologies pixel;ECHEC_TONTINE
8;b Panoramas;middleware;RETARD_PRESENCE
9;feed;platforms responsive Corse;AUTRE_SANCTION
10;withdrawal neural;Saint-Denis Joubert;RETARD_PRESENCE
