id;code_association;libele;nombre_tour;nombre_personne;marge_beneficiaire;montant_part;montant_cagnote;penalite_retard_cotisation;type_penalite;date_creation;date_premier_tour;date_dernier_tour;statut_tontine;description
1;Architecte;Soft;71517;31101;43106;31468;29034;92823;POURCENTAGE;2023-06-08;2023-06-08;2023-06-07;CLOTUREE;enterprise wireless
2;Fresh;du Handmade;66810;99703;63806;37559;38888;88938;POURCENTAGE;2023-06-08;2023-06-08;2023-06-07;CREE;interface orchestrate Franche-Comté
3;software a;Electronics;69180;56995;75043;79785;93346;1977;POURCENTAGE;2023-06-08;2023-06-08;2023-06-07;OUVERTE;transmit Granite program
4;Universal Borders blue;Tenge;53008;79824;73364;21672;98754;9110;FORFAIT;2023-06-08;2023-06-08;2023-06-08;CLOTUREE;wireless
5;Tala bus Pizza;Technicien;32205;38940;59962;40483;21063;43522;FORFAIT;2023-06-07;2023-06-07;2023-06-07;OUVERTE;yellow
6;indexing Granite integrated;black Rustic;50810;10447;82841;76500;51909;90545;POURCENTAGE;2023-06-07;2023-06-07;2023-06-07;OUVERTE;Incredible
7;conglomeration;copying Secured;40012;29684;29657;23016;46355;56179;POURCENTAGE;2023-06-07;2023-06-08;2023-06-08;CREE;a Checking
8;bypass Italie;Superviseur bluetooth;71929;38188;82199;79370;50754;89125;POURCENTAGE;2023-06-08;2023-06-07;2023-06-08;CREE;deliverables Persevering
9;capacitor Awesome Manager;orange Guarani Garden;64011;98036;95083;36953;7294;29055;POURCENTAGE;2023-06-08;2023-06-08;2023-06-07;CREE;Virtual Open-source Investment
10;Credit Outdoors;Montmorency;82362;34301;71728;40847;59371;99218;FORFAIT;2023-06-07;2023-06-08;2023-06-08;CLOTUREE;Sausages
